File Name,Set Associativity,Total Access Time (s),Mean Time (s),Total Energy (J),Mean Energy (J),L1i Accesses,L1i Misses,L1i Hit Rate,L1i Idle Consumption (J),L1i Active Consumption (J),L1i Energy (J),L1i Mean Energy (J),L1d Accesses,L1d Misses,L1d Hit Rate,L1d Idle Consumption (J),L1d Active Consumption (J),L1d Energy (J),L1d Mean Energy (J),L2 Accesses,L2 Misses,L2 Hit Rate,L2 Idle Consumption (J),L2 Active Consumption (J),L2 Energy (J),L2 Mean Energy (J),DRAM Accesses,DRAM Idle Consumption (J),DRAM Active Consumption (J),DRAM Energy (J),DRAM Mean Energy (J)
022.li.din,4,0.004971475000038752,0.0004971475000038752,0.0286095088001415,0.0028609508800141502,7422540.0,23820.0,0.9967908559603585,0.002485737500019376,0.003711270000033208,0.006197007500052584,0.0006197007500052584,2577490.0,48270.0,0.9812724782637372,0.002485737500019376,0.003711270000033208,0.0037744825000144396,0.000377448250001444,1075680.0,13200.0,0.9877286925479697,0.003977180000031003,0.009686498400012478,0.01366367840004348,0.001366367840004348,5520.0,0.003977180000031003,0.0009971603999999966,0.004974340400030999,0.0004974340400030998
022.li.din,8,0.004971475000038752,0.0004971475000038752,0.0286095088001415,0.0028609508800141502,7422540.0,23820.0,0.9967908559603585,0.002485737500019376,0.003711270000033208,0.006197007500052584,0.0006197007500052584,2577490.0,48270.0,0.9812724782637372,0.002485737500019376,0.003711270000033208,0.0037744825000144396,0.000377448250001444,1075680.0,13200.0,0.9877286925479697,0.003977180000031003,0.009686498400012478,0.01366367840004348,0.001366367840004348,5520.0,0.003977180000031003,0.0009971603999999966,0.004974340400030999,0.0004974340400030998
023.eqntott.din,2,0.004761790000048651,0.0004761790000048651,0.02509060195016548,0.002509060195016548,7697590.0,2170.0,0.9997180935851351,0.0023808950000243257,0.003848795000035372,0.006229690000059698,0.0006229690000059699,2302410.0,20560.0,0.9910702264149305,0.0023808950000243257,0.003848795000035372,0.0035321000000191082,0.0003532100000019108,801420.0,15950.0,0.9800978263582142,0.0038094320000389217,0.007216787100008828,0.01102621910004775,0.001102621910004775,2730.0,0.0038094320000389217,0.0004931608499999985,0.00430259285003892,0.000430259285003892
023.eqntott.din,4,0.004761790000048651,0.0004761790000048651,0.02509060195016548,0.002509060195016548,7697590.0,2170.0,0.9997180935851351,0.0023808950000243257,0.003848795000035372,0.006229690000059698,0.0006229690000059699,2302410.0,20560.0,0.9910702264149305,0.0023808950000243257,0.003848795000035372,0.0035321000000191082,0.0003532100000019108,801420.0,15950.0,0.9800978263582142,0.0038094320000389217,0.007216787100008828,0.01102621910004775,0.001102621910004775,2730.0,0.0038094320000389217,0.0004931608499999985,0.00430259285003892,0.000430259285003892
023.eqntott.din,8,0.004761790000048651,0.0004761790000048651,0.02509060195016548,0.002509060195016548,7697590.0,2170.0,0.9997180935851351,0.0023808950000243257,0.003848795000035372,0.006229690000059698,0.0006229690000059699,2302410.0,20560.0,0.9910702264149305,0.0023808950000243257,0.003848795000035372,0.0035321000000191082,0.0003532100000019108,801420.0,15950.0,0.9800978263582142,0.0038094320000389217,0.007216787100008828,0.01102621910004775,0.001102621910004775,2730.0,0.0038094320000389217,0.0004931608499999985,0.00430259285003892,0.000430259285003892
026.compress.din,2,0.004805972000044503,0.0004805972000044503,0.03612721360016297,0.0036127213600162973,7212160.0,1410.0,0.9998044968497648,0.0024029860000222515,0.003606080000031551,0.006009066000053803,0.0006009066000053802,2787840.0,140304.0,0.9496728650137741,0.0024029860000222515,0.003606080000031551,0.003796906000018971,0.0003796906000018971,1571216.0,60960.0,0.9612020244193032,0.003844777600035602,0.014148800080019073,0.017993577680054676,0.0017993577680054675,24816.0,0.003844777600035602,0.0044828863199999226,0.008327663920035526,0.0008327663920035526
026.compress.din,4,0.004845441500044689,0.00048454415000446886,0.03653811590516344,0.003653811590516344,7212160.0,1410.0,0.9998044968497648,0.0024227207500223443,0.003606080000031551,0.006028800750053896,0.0006028800750053896,2787840.0,141065.0,0.9493998938246098,0.0024227207500223443,0.003606080000031551,0.003816640750019064,0.00038166407500190636,1571147.0,61235.0,0.9610252891677227,0.00387635320003575,0.014148178735019074,0.01802453193505482,0.0018024531935054821,26526.0,0.00387635320003575,0.0047917892699998995,0.008668142470035651,0.0008668142470035651
026.compress.din,8,0.004854194000044837,0.00048541940000448365,0.03669134257516383,0.003669134257516383,7212160.0,1410.0,0.9998044968497648,0.0024270970000224183,0.003606080000031551,0.00603317700005397,0.000603317700005397,2787840.0,141312.0,0.9493112947658402,0.0024270970000224183,0.003606080000031551,0.0038210170000191382,0.00038210170000191383,1571172.0,61586.0,0.9608025092096855,0.00388335520003587,0.014148403860019072,0.01803175906005494,0.0018031759060054941,27247.0,0.00388335520003587,0.004922034314999903,0.008805389515035775,0.0008805389515035775
034.mdljdp2.din,2,0.005114801000027206,0.0005114801000027207,0.025575126340107585,0.0025575126340107585,7685430.0,11200.0,0.9985426970254104,0.002557400500013603,0.003842715000035276,0.0064001155000488795,0.000640011550004888,2314570.0,14468.0,0.9937491629114695,0.002557400500013603,0.003842715000035276,0.003714685500008315,0.00037146855000083146,652598.0,14228.0,0.9781979105053954,0.004091840800021764,0.0058766449900068485,0.009968485790028615,0.0009968485790028615,7750.0,0.004091840800021764,0.0013999987500000089,0.005491839550021774,0.0005491839550021773
034.mdljdp2.din,4,0.005114405000027249,0.0005114405000027249,0.025563186000107686,0.0025563186000107686,7685430.0,11200.0,0.9985426970254104,0.0025572025000136244,0.003842715000035276,0.006399917500048901,0.0006399917500048901,2314570.0,14370.0,0.9937915033893985,0.0025572025000136244,0.003842715000035276,0.0037144875000083375,0.00037144875000083376,652590.0,14210.0,0.9782252256393754,0.0040915240000218,0.005876572950006848,0.009968096950028649,0.000996809695002865,7690.0,0.0040915240000218,0.0013891600500000082,0.005480684050021807,0.0005480684050021807
034.mdljdp2.din,8,0.005114405000027249,0.0005114405000027249,0.025563186000107686,0.0025563186000107686,7685430.0,11200.0,0.9985426970254104,0.0025572025000136244,0.003842715000035276,0.006399917500048901,0.0006399917500048901,2314570.0,14370.0,0.9937915033893985,0.0025572025000136244,0.003842715000035276,0.0037144875000083375,0.00037144875000083376,652590.0,14210.0,0.9782252256393754,0.0040915240000218,0.005876572950006848,0.009968096950028649,0.000996809695002865,7690.0,0.0040915240000218,0.0013891600500000082,0.005480684050021807,0.0005480684050021807
039.wave5.din,2,0.004986665000041802,0.0004986665000041802,0.02319313465015135,0.002319313465015135,8276000.0,4650.0,0.9994381343644273,0.002493332500020901,0.004138000000039926,0.006631332500060825,0.0006631332500060826,1724000.0,3690.0,0.9978596287703017,0.002493332500020901,0.004138000000039926,0.003355332500018967,0.00033553325000189674,489470.0,7430.0,0.9848203158518397,0.003989332000033443,0.0044076773500046785,0.00839700935003812,0.0008397009350038121,4540.0,0.003989332000033443,0.0008201282999999974,0.004809460300033439,0.0004809460300033439
039.wave5.din,4,0.004986665000041802,0.0004986665000041802,0.02319313465015135,0.002319313465015135,8276000.0,4650.0,0.9994381343644273,0.002493332500020901,0.004138000000039926,0.006631332500060825,0.0006631332500060826,1724000.0,3690.0,0.9978596287703017,0.002493332500020901,0.004138000000039926,0.003355332500018967,0.00033553325000189674,489470.0,7430.0,0.9848203158518397,0.003989332000033443,0.0044076773500046785,0.00839700935003812,0.0008397009350038121,4540.0,0.003989332000033443,0.0008201282999999974,0.004809460300033439,0.0004809460300033439
